item_id,order_id,product_id,quantity,unit_price,discount_percent,is_return
1,223,22,2,1556.94,41.5,False
2,891,59,2,5396.19,52.0,False
3,1137,136,5,17989.6,91.7,False
4,676,116,5,10703.67,56.7,False
5,1954,115,5,16750.13,44.5,False
6,647,67,1,4005.77,29.6,False
7,1583,138,1,17507.02,11.5,False
8,1423,33,2,14766.37,53.4,False
9,1756,29,4,18195.73,58.1,False
10,1511,35,2,10826.6,23.2,False
11,259,62,5,17180.23,54.4,False
12,152,62,1,6848.33,53.8,False
13,532,67,2,16579.39,4.4,False
14,1005,53,2,14005.63,8.9,False
15,303,114,5,1695.12,76.0,False
16,944,43,3,696.21,76.5,False
17,1598,7,1,17271.43,72.3,False
18,172,83,5,1713.16,68.8,False
19,985,26,5,12986.2,5.7,False
20,1292,7,3,6325.6,67.2,False
21,1628,130,3,5290.0,8.5,False
22,1665,38,5,10846.27,28.7,False
23,1070,20,3,10078.17,78.8,False
24,644,98,5,8750.33,2.6,False
25,1228,13,-2,17727.28,37.8,True
26,1304,88,5,5574.08,15.0,False
27,774,145,4,3070.53,26.9,False
28,467,83,1,7387.59,82.2,False
29,1608,148,1,11095.61,3.9,False
30,963,14,2,8262.65,85.6,False
31,1144,118,1,15470.09,77.9,False
32,1952,135,1,1308.16,80.2,False
33,1901,32,3,16714.47,12.4,False
34,1139,136,3,12549.01,25.9,False
35,1756,46,4,10019.1,93.1,False
36,1057,50,2,10613.59,6.4,False
37,549,63,1,2915.87,40.0,False
38,1389,76,5,11471.27,66.9,False
39,1497,79,2,512.12,87.9,False
40,1550,34,5,8674.69,10.4,False
41,1968,65,1,16458.53,29.2,False
42,1294,100,3,15177.39,86.6,False
43,87,48,2,14450.37,36.9,False
44,1114,48,1,13406.42,47.0,False
45,631,106,3,10308.3,96.0,False
46,1087,130,1,15463.53,73.1,False
47,755,62,5,10423.06,83.0,False
48,565,85,2,9367.09,83.2,False
49,127,88,1,19863.21,29.1,False
50,420,56,3,3967.15,52.6,False
51,1203,81,1,7954.93,22.2,False
52,290,27,5,9149.4,46.6,False
53,1800,32,5,19514.25,24.1,False
54,188,51,2,8159.39,32.3,False
55,463,11,1,14494.88,95.6,False
56,1881,130,3,19829.3,9.5,False
57,1968,129,5,14433.69,52.4,False
58,18,3,2,16424.94,99.7,False
59,61,28,4,2329.09,12.8,False
60,1224,135,2,13799.09,33.4,False
61,1305,128,3,16478.51,59.6,False
62,1967,107,5,13634.4,39.2,False
63,1249,89,1,1617.41,60.4,False
64,1656,32,5,5808.04,53.9,False
65,463,60,4,6924.71,2.6,False
66,286,105,2,18837.84,60.7,False
67,1036,38,4,5572.89,33.8,False
68,158,24,1,13938.8,85.7,False
69,603,34,4,18819.29,4.3,False
70,752,6,3,4829.21,93.6,False
71,878,112,1,10434.85,9.6,False
72,1529,33,1,18783.02,94.4,False
73,1792,15,2,7290.31,39.8,False
74,1245,23,1,7787.05,68.5,False
75,149,83,2,2088.92,17.6,False
76,448,66,3,1135.84,43.0,False
77,1127,47,1,9759.18,84.7,False
78,870,144,2,12461.46,98.4,False
79,1703,68,1,2404.99,30.4,False
80,1136,2,4,15626.84,34.3,False
81,487,123,5,14759.5,52.9,False
82,835,12,3,12328.72,12.4,False
83,210,95,1,12153.07,4.7,False
84,755,145,1,16085.4,28.6,False
85,373,5,4,19838.69,58.3,False
86,340,104,5,12513.13,62.6,False
87,1571,147,3,16622.62,64.2,False
88,1556,117,5,5981.4,53.5,False
89,750,149,5,5039.2,33.0,False
90,211,76,-3,17758.03,56.9,True
91,1623,50,2,2256.26,83.9,False
92,1653,58,2,15547.75,43.0,False
93,1155,144,1,8215.6,70.0,False
94,1143,122,1,9197.91,41.8,False
95,1827,8,2,15010.6,31.0,False
96,1932,59,2,6582.98,66.3,False
97,1860,93,5,2856.61,89.7,False
98,1551,5,3,16577.47,89.7,False
99,1967,105,1,19633.8,90.2,False
100,1160,112,5,16111.25,78.4,False
101,832,92,2,8739.5,26.6,False
102,1605,141,4,6959.88,63.0,False
103,1892,56,-2,16193.97,9.8,True
104,1702,38,5,6342.52,33.7,False
105,1892,31,2,15566.65,39.9,False
