item_id,order_id,product_id,quantity,unit_price,discount_percent
1,223,22,2,1556.94,41.5
2,891,59,2,5396.19,52.0
3,1137,136,5,17989.6,91.7
4,676,116,5,10703.67,56.7
5,1954,115,5,16750.13,44.5
6,647,67,1,4005.77,29.6
7,1583,138,1,17507.02,11.5
8,1423,33,2,14766.37,53.4
9,1756,29,4,18195.73,58.1
10,1511,35,2,10826.6,23.2
11,259,62,5,17180.23,54.4
12,152,62,1,6848.33,53.8
13,532,67,2,16579.39,4.4
14,1005,53,2,14005.63,8.9
15,303,114,5,1695.12,76.0
16,944,43,3,696.21,76.5
17,1598,7,1,17271.43,72.3
18,172,83,5,1713.16,68.8
19,985,26,5,12986.2,5.7
20,1292,7,3,6325.6,67.2
21,1628,130,3,5290.0,8.5
22,1665,38,5,10846.27,28.7
23,1070,20,3,10078.17,78.8
24,644,98,5,8750.33,2.6
25,1228,13,-2,17727.28,37.8
26,1304,88,5,5574.08,15.0
27,774,145,4,3070.53,26.9
28,467,83,1,7387.59,82.2
29,1608,148,1,11095.61,3.9
30,963,14,2,8262.65,85.6
31,1144,118,1,15470.09,77.9
32,1952,135,1,1308.16,80.2
33,1901,32,3,16714.47,12.4
34,1139,136,3,12549.01,25.9
35,1756,46,4,10019.1,93.1
36,1057,50,2,10613.59,6.4
37,549,63,1,2915.87,40.0
38,1389,76,5,11471.27,66.9
39,1497,79,2,512.12,87.9
40,1550,34,5,8674.69,10.4
41,1968,65,1,16458.53,29.2
42,1294,100,3,15177.39,86.6
43,87,48,2,14450.37,36.9
44,1114,48,1,13406.42,47.0
45,631,106,3,10308.3,96.0
46,1087,130,1,15463.53,73.1
47,755,62,5,10423.06,83.0
48,565,85,2,9367.09,83.2
49,127,88,1,19863.21,29.1
50,420,56,3,3967.15,52.6
51,1203,81,1,7954.93,22.2
52,290,27,5,9149.4,46.6
53,1800,32,5,19514.25,24.1
54,188,51,2,8159.39,32.3
55,463,11,1,14494.88,95.6
56,1881,130,3,19829.3,9.5
57,1968,129,5,14433.69,52.4
58,18,3,2,16424.94,99.7
59,61,28,4,2329.09,12.8
60,1224,135,2,13799.09,33.4
61,1305,128,3,16478.51,59.6
62,1967,107,5,13634.4,39.2
63,1249,89,1,1617.41,60.4
64,1656,32,5,5808.04,53.9
65,463,60,4,6924.71,2.6
66,286,105,2,18837.84,60.7
67,1036,38,4,5572.89,33.8
68,158,24,1,13938.8,85.7
69,603,34,4,18819.29,4.3
70,752,6,3,4829.21,93.6
71,878,112,1,10434.85,9.6
72,1529,33,1,18783.02,94.4
73,1792,15,2,7290.31,39.8
74,1245,23,1,7787.05,68.5
75,149,83,2,2088.92,17.6
76,448,66,3,1135.84,43.0
77,1127,47,1,9759.18,84.7
78,870,144,2,12461.46,98.4
79,1703,68,1,2404.99,30.4
80,1136,2,4,15626.84,34.3
81,487,123,5,14759.5,52.9
82,835,12,3,12328.72,12.4
83,210,95,1,12153.07,4.7
84,755,145,1,16085.4,28.6
85,373,5,4,19838.69,58.3
86,340,104,5,12513.13,62.6
87,1571,147,3,16622.62,64.2
88,1556,117,5,5981.4,53.5
89,750,149,5,5039.2,33.0
90,211,76,-3,17758.03,56.9
91,1623,50,2,2256.26,83.9
92,1653,58,2,15547.75,43.0
93,1155,144,1,8215.6,70.0
94,1143,122,1,9197.91,41.8
95,1827,8,2,15010.6,31.0
96,1932,59,2,6582.98,66.3
97,1860,93,5,2856.61,89.7
98,1551,5,3,16577.47,89.7
99,1967,105,1,19633.8,90.2
100,1160,112,5,16111.25,78.4
101,832,92,2,8739.5,26.6
102,1605,141,4,6959.88,63.0
103,1892,56,-2,16193.97,9.8
104,1702,38,5,6342.52,33.7
105,1892,31,2,15566.65,39.9
106,306,62,3,17010.29,27.2
107,1842,11,2,9620.5,22.4
108,14,132,4,18156.05,38.9
109,113,30,4,10127.6,7.5
110,1369,50,3,16488.85,82.3
111,53,13,4,10603.47,61.2
112,572,21,5,1555.94,73.8
113,112,117,2,17271.68,52.2
114,1786,150,4,12576.86,5.0
115,755,57,3,434.68,49.5
116,907,73,1,14314.88,44.9
117,287,104,4,13460.73,59.6
118,706,5,1,14942.67,49.2
119,1281,122,1,19641.45,56.5
120,1910,18,3,552.43,93.7
121,1382,137,2,4048.94,45.4
122,183,34,3,7221.79,93.1
123,415,89,4,2263.39,54.5
124,163,119,-1,13592.85,7.9
125,335,1,2,15031.72,23.8
126,1052,82,4,10967.64,97.6
127,771,32,4,1579.29,66.8
128,608,79,1,14547.13,16.9
129,1186,83,4,5950.93,4.3
130,1675,25,3,19899.08,23.7
131,420,65,4,9460.92,10.8
132,291,119,4,13378.8,17.0
133,383,20,-1,12817.34,87.8
134,1832,138,1,12602.49,26.1
135,1906,108,5,6868.74,83.0
136,1607,113,4,17345.01,23.2
137,1685,139,1,16976.71,17.7
138,1396,82,3,4655.27,75.0
139,1966,6,5,10937.51,63.7
140,825,31,1,8112.92,93.8
141,484,104,2,17216.01,1.5
142,1566,1,2,1778.61,84.1
143,370,58,3,13510.27,8.6
144,806,94,-2,10827.58,44.7
145,215,68,2,14676.54,52.3
146,1578,45,5,2861.01,56.8
147,1985,117,1,11194.78,53.4
148,1397,69,5,12218.33,28.9
149,1120,5,2,17854.31,3.8
150,678,9,2,13280.04,54.2
151,1997,65,3,13002.58,29.8
152,1241,87,5,10292.89,63.0
153,1326,22,4,12558.71,50.8
154,1972,10,4,1924.15,92.4
155,482,140,4,9604.27,53.9
156,1991,48,-3,9094.93,38.0
157,160,17,4,9948.48,53.2
158,788,139,5,11534.4,43.6
159,1019,40,2,6470.31,57.7
160,1012,10,5,6433.25,52.4
161,817,48,2,7436.75,69.6
162,1809,8,3,15135.79,39.0
163,1491,85,5,862.48,67.3
164,344,72,2,15589.74,34.3
165,768,69,5,7924.15,59.4
166,402,36,5,5953.86,63.8
167,1299,35,5,16950.19,79.0
168,1701,57,2,10969.02,90.2
169,1173,27,2,5288.5,68.4
170,1876,84,3,14476.17,93.2
171,365,88,5,3519.96,94.6
172,454,57,5,15655.48,37.0
