product_id,product_name,category,subcategory,cost_price
1,  Ultra Smartphone 198  ,Electronics,Mobiles,28609.9
2,mini notebook 155,Electronics,Laptops,21408.92
3,  Smart Case 304  ,Electronics,Accessories,10387.3
4,Max Headphone 584,Electronics,Audio,15452.25
5,Smart Smartphone 600,Electronics,Mobiles,13286.97
6,Mini Notebook 479,Electronics,Laptops,18501.61
7,pro earphones 369,Electronics,Accessories,13206.87
8,Pro Headphone 254,Electronics,Audio,33390.05
9,Lite Phone 927,Electronics,Mobiles,48536.74
10,pro laptop 960,Electronics,Laptops,26152.98
11,ULTRA EARPHONES 587,Electronics,Accessories,19770.48
12,Mini Speaker 223,Electronics,Audio,22479.53
13,ULTRA PHONE 927,Electronics,Mobiles,2181.66
14,Classic Laptop 306,Electronics,Laptops,31379.95
15,Lite Case 844,Electronics,Accessories,3397.25
16,classic headphone 665,Electronics,Audio,13846.23
17,Pro Smartphone 905,Electronics,Mobiles,29399.43
18,  Max Notebook 524  ,Electronics,Laptops,28351.37
19,Max Charger 676,Electronics,Accessories,39297.99
20,classic headphone 370,Electronics,Audio,24304.96
21,PRO SMARTPHONE 276,Electronics,Mobiles,7235.44
22,Pro Notebook 505,Electronics,Laptops,16608.13
23,Pro Cable 863,Electronics,Accessories,13465.79
24,Pro Headphone 445,Electronics,Audio,15187.59
25,Smart Smartphone 978,Electronics,Mobiles,4955.96
26,Mini Laptop 407,Electronics,Laptops,22183.38
27,plus case 846,Electronics,Accessories,32295.46
28,Smart Speaker 316,Electronics,Audio,20388.16
29,  Lite Smartphone 940  ,Electronics,Mobiles,39584.95
30,Plus Laptop 826,Electronics,Laptops,6825.71
31,Mini Charger 297,Electronics,Accessories,10076.3
32,Ultra Speaker 133,Electronics,Audio,45905.65
33,Plus Phone 477,Electronics,Mobiles,25281.06
34,pro laptop 347,Electronics,Laptops,29722.48
35,Smart Cable 700,Electronics,Accessories,17245.24
36,  Max Headphone 391  ,Electronics,Audio,2530.07
37,ULTRA PHONE 762,Electronics,Mobiles,10376.21
38,Pro Notebook 985,Electronics,Laptops,38390.26
39,Smart Charger 235,Electronics,Accessories,30077.04
40,Ultra Speaker 358,Electronics,Audio,47153.1
41,Plus Jacket 533,Clothing,Men,42586.73
42,Plus Top 323,Clothing,Women,33875.95
43,Max Shorts 107,Clothing,Kids,33134.65
44,Plus Sandals 405,Clothing,Footwear,24112.83
45,plus jeans 755,Clothing,Men,13880.4
46,  Plus Saree 292  ,Clothing,Women,38285.45
47,classic t-shirt 776,Clothing,Kids,7039.48
48,SMART SNEAKERS 402,Clothing,Footwear,20957.36
49,Pro Jeans 697,Clothing,Men,28623.52
50,Lite Dress 843,Clothing,Women,34331.59
51,lite shorts 619,Clothing,Kids,8540.83
52,Plus Sneakers 199,Clothing,Footwear,37058.9
53,Mini Jacket 796,Clothing,Men,32739.01
54,Lite Dress 328,Clothing,Women,15388.91
55,Lite Shorts 366,Clothing,Kids,23214.84
56,Smart Sneakers 154,Clothing,Footwear,29199.55
57,Max Jacket 583,Clothing,Men,25048.84
